timestamp,simulation_hour,day_of_week,is_weekend,location_id,location_name,city,location_type,latitude,longitude,is_open,opening_hour,closing_hour,visitor_count,crowd_density,crowd_level,temperature_c,humidity,weather_condition,weather_factor,event_name,event_type,event_multiplier,holiday_overlap,school_vacation,tourism_season,resource_usage,noise_level_db,satisfaction_score,peak_flag
2026-06-23T10:15:03.755048,10,Tuesday,0,GIZ_04,Saqqara Necropolis,Giza,Historical,29.8711,31.2165,1,8,17,2218,0.44,Medium,26.22,49,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,62.0,75.5,0
2026-06-23T10:15:03.755048,10,Tuesday,0,GIZ_05,Dahshur Pyramids,Giza,Historical,29.8017,31.2056,1,8,17,637,0.21,Low,26.22,49,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Low,50.5,85.2,0
2026-06-23T10:15:03.755048,10,Tuesday,0,ALX_01,Bibliotheca Alexandrina,Alexandria,Cultural,31.2089,29.9092,1,9,19,2474,0.35,Medium,25.68,69,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.2,2,1,1,Medium,57.5,86.0,0
2026-06-23T10:15:03.755048,10,Tuesday,0,ALX_02,Qaitbay Citadel,Alexandria,Historical,31.2136,29.8853,1,8,18,3787,0.63,High,25.68,69,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.2,2,1,1,High,71.5,64.9,0
2026-06-23T10:15:03.755048,10,Tuesday,0,ALX_03,Catacombs of Kom El Shoqafa,Alexandria,Historical,31.182,29.89,1,9,17,1162,0.39,Medium,25.68,69,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.2,2,1,1,Medium,59.5,84.2,0
2026-06-23T10:15:03.755048,10,Tuesday,0,ALX_04,Montaza Palace Gardens,Alexandria,Leisure,31.285,30.017,1,8,22,9673,0.97,Critical,25.68,69,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.2,2,1,1,Emergency,88.5,49.7,1
2026-06-23T10:15:03.755048,10,Tuesday,0,ALX_05,Stanley Bridge,Alexandria,Leisure,31.2456,29.9668,1,0,23,3983,0.33,Medium,25.68,69,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.2,2,1,1,Medium,56.5,83.9,0
2026-06-23T10:15:03.755048,10,Tuesday,0,LUX_01,Karnak Temple,Luxor,Historical,25.7188,32.6573,1,6,17,4332,0.54,Medium,32.01,21,Clear,0.9,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,67.0,75.8,0
2026-06-23T10:15:03.755048,10,Tuesday,0,LUX_02,Luxor Temple,Luxor,Historical,25.6996,32.6396,1,6,22,2318,0.33,Medium,32.01,21,Clear,0.9,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,56.5,85.7,0
2026-06-23T10:15:03.755048,10,Tuesday,0,LUX_03,Valley of the Kings,Luxor,Historical,25.7402,32.6014,1,6,17,3913,0.43,Medium,32.01,21,Clear,0.9,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,61.5,75.5,0
2026-06-23T10:15:03.755048,10,Tuesday,0,LUX_04,Hatshepsut Temple,Luxor,Historical,25.7382,32.6067,1,6,17,2868,0.41,Medium,32.01,21,Clear,0.9,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,60.5,77.6,0
2026-06-23T10:15:03.755048,10,Tuesday,0,LUX_05,Valley of the Queens,Luxor,Historical,25.7277,32.5945,1,6,17,1178,0.29,Low,32.01,21,Clear,0.9,Summer School Vacation,School Vacation,1.6,1,1,0,Low,54.5,82.9,0
2026-06-23T10:15:03.755048,10,Tuesday,0,LUX_06,Luxor Museum,Luxor,Museum,25.7077,32.6396,1,9,17,758,0.3,Medium,32.01,21,Clear,0.9,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,55.0,82.9,0
2026-06-23T10:15:03.755048,10,Tuesday,0,ASW_01,Abu Simbel,Aswan,Historical,22.3372,31.6258,1,6,17,2794,0.4,Medium,30.17,25,Clear,0.9,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,60.0,83.3,0
2026-06-23T10:15:03.755048,10,Tuesday,0,ASW_02,Philae Temple,Aswan,Historical,24.0258,32.8841,1,7,17,3131,0.52,Medium,30.17,25,Clear,0.9,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,66.0,71.0,0
2026-06-23T10:15:03.755048,10,Tuesday,0,ASW_03,Nubian Village,Aswan,Cultural,24.0889,32.8998,1,8,20,1175,0.39,Medium,30.17,25,Clear,0.9,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,59.5,78.4,0
2026-06-23T10:15:03.755048,10,Tuesday,0,ASW_04,Nubian Museum,Aswan,Museum,24.0822,32.8872,1,9,17,628,0.25,Low,30.17,25,Clear,0.9,Summer School Vacation,School Vacation,1.6,1,1,0,Low,52.5,85.7,0
2026-06-23T10:15:03.755048,10,Tuesday,0,ASW_05,Unfinished Obelisk,Aswan,Historical,24.0767,32.899,1,7,17,928,0.31,Medium,30.17,25,Clear,0.9,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,55.5,87.8,0
2026-06-23T10:15:03.755048,10,Tuesday,0,SHM_01,Ras Mohammed,Sharm El Sheikh,Nature,27.7244,34.2583,1,6,18,4613,0.92,Critical,27.77,59,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.8,4,1,1,Emergency,86.0,52.7,1
2026-06-23T10:15:03.755048,10,Tuesday,0,SHM_02,SOHO Square,Sharm El Sheikh,Leisure,27.9773,34.3947,1,10,23,4549,0.57,Medium,27.77,59,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.8,4,1,1,Medium,68.5,70.2,0
2026-06-23T10:15:03.755048,10,Tuesday,0,SHM_03,Naama Bay,Sharm El Sheikh,Leisure,27.9158,34.3299,1,0,23,12000,1.0,Critical,27.77,59,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.8,4,1,1,Emergency,90.0,50.4,1
2026-06-23T10:15:03.755048,10,Tuesday,0,SHM_04,Sharks Bay,Sharm El Sheikh,Nature,27.963,34.3965,1,6,18,1767,0.44,Medium,27.77,59,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.8,4,1,1,Medium,62.0,80.1,0
2026-06-23T10:15:03.755048,10,Tuesday,0,SHM_05,Old Market,Sharm El Sheikh,Market,27.8605,34.3048,1,9,23,3520,0.59,Medium,27.77,59,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.8,4,1,1,Medium,69.5,68.8,0
2026-06-23T10:15:03.755048,10,Tuesday,0,DAH_01,Blue Hole,Dahab,Nature,28.5729,34.5362,1,6,18,3909,0.78,High,27.46,28,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.5,3,1,1,High,79.0,61.1,0
2026-06-23T10:15:03.755048,10,Tuesday,0,DAH_02,Dahab Lagoon,Dahab,Nature,28.4622,34.5,1,6,18,1457,0.42,Medium,27.46,28,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.5,3,1,1,Medium,61.0,78.6,0
2026-06-23T10:15:03.755048,10,Tuesday,0,DAH_03,Lighthouse Reef,Dahab,Nature,28.495,34.5168,1,6,18,983,0.33,Medium,27.46,28,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.5,3,1,1,Medium,56.5,81.8,0
2026-06-23T10:15:03.755048,10,Tuesday,0,DAH_04,Three Pools,Dahab,Nature,28.43,34.5,1,6,18,697,0.35,Medium,27.46,28,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.5,3,1,1,Medium,57.5,78.9,0
2026-06-23T10:15:03.755048,10,Tuesday,0,HRG_01,Giftun Island,Hurghada,Nature,27.227,33.9214,1,7,18,3833,0.64,High,28.96,47,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.8,4,1,1,High,72.0,71.8,0
2026-06-23T10:15:03.755048,10,Tuesday,0,HRG_02,Hurghada Marina,Hurghada,Leisure,27.2314,33.8417,1,0,23,10000,1.0,Critical,28.96,47,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.8,4,1,1,Emergency,90.0,51.4,1
2026-06-23T10:15:03.755048,10,Tuesday,0,HRG_03,Mahmya Island,Hurghada,Nature,27.252,33.843,1,7,18,1140,0.33,Medium,28.96,47,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.8,4,1,1,Medium,56.5,87.0,0
2026-06-23T10:15:03.755048,10,Tuesday,0,HRG_04,Sand City,Hurghada,Cultural,27.12,33.826,1,9,18,1065,0.43,Medium,28.96,47,Clear,1.0,Summer Beach Tourism Season,Tourism Season,2.8,4,1,1,Medium,61.5,75.1,0
2026-06-23T10:15:03.755048,10,Tuesday,0,FYM_01,Wadi El Hitan,Fayoum,Nature,29.2715,30.1795,1,7,17,1728,0.43,Medium,27.26,41,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,61.5,81.8,0
2026-06-23T10:15:03.755048,10,Tuesday,0,FYM_02,Tunis Village,Fayoum,Cultural,29.4336,30.6415,1,8,20,698,0.28,Low,27.26,41,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Low,54.0,84.2,0
2026-06-23T10:15:03.755048,10,Tuesday,0,FYM_03,Lake Qarun,Fayoum,Nature,29.5,30.6,1,6,18,1672,0.33,Medium,27.26,41,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,56.5,85.8,0
2026-06-23T10:15:03.755048,10,Tuesday,0,FYM_04,Wadi El Rayan,Fayoum,Nature,29.2333,30.6167,1,6,18,2730,0.46,Medium,27.26,41,Clear,1.0,Summer School Vacation,School Vacation,1.6,1,1,0,Medium,63.0,72.5,0
